gpl,type,organism_ch1,molecule_ch1,label_ch1
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,Biotin
GPL1261,RNA,Mus musculus,total RNA,biotin
GPL1261,RNA,Mus musculus,total RNA,biotin
GPL1261,RNA,Mus musculus,total RNA,biotin
GPL1261,RNA,Mus musculus,total RNA,biotin
GPL1261,RNA,Mus musculus,total RNA,biotin
GPL1261,RNA,Mus musculus,total RNA,biotin
GPL11002,SRA,Mus musculus,total RNA,NA
GPL11002,SRA,Mus musculus,total RNA,NA
GPL14613,RNA,Mus musculus,total RNA,biotin
