"","cg00000292","cg00002426","cg00003994","cg00005847","cg00007981","cg00008493","cg00008713","cg00009407","cg00011459","cg00012199","cg00012386","cg00012792","cg00013618","cg00014085","cg00015770","cg00016968","cg00019495","cg00020533","cg00021527","cg00022866","cg00024396","cg00024812","cg00025138","cg00025991","cg00027083","cg00029826","cg00029931","cg00030047","cg00031162","cg00032227","cg00033516","cg00033773","cg00034039","cg00035623","cg00037763","cg00037940","cg00040861","cg00040873","cg00041575","cg00043004","cg00044245","cg00047050","cg00047469","cg00050312","Class"
"TCGA-2F-A9KO-01","0.717336137308023","0.586687663401679","0.0824869338537775","0.494636146597152","0.032233494666939","0.855921860483039","0.05621713405522","0.034562423565737","0.899358397657559","0.036620520149662","0.0371235271362956","0.064952640157493","0.711375477193592","0.0532091118121982","0.447444740619027","0.613313685509854","0.204936308819064","0.824966716639681","0.0389904024051078","0.669649830678911","0.0531086403832064","0.0359137159473443","0.020462430918253","0.520277484865423","0.319978063910755","0.0469967926055356","0.0572229724022927","0.554964177704588","0.496093236432109","0.0119815280006257","0.1229223803661","0.730379225106824","0.0888059112093371","0.0698305437977352","0.899516029729278","0.933931769720416","0.0334507572511202","0.184332983878669","0.210378627970871","0.241413396701023","0.170077656404556","0.072843448734607","0.0772039919542287","0.0410509360054337","Cancer"
"TCGA-2F-A9KP-01","0.616757139611535","0.348780447372767","0.161997312659584","0.632729576891794","0.025402880672228","0.942087505440627","0.0594244540669076","0.0332496307414386","0.895827376040996","0.0370164576046364","0.0298790858268959","0.0923681541795631","0.708569557291508","0.0409832188609022","0.480907073471277","0.426784656088347","0.124956536868275","0.792968938933518","0.0544085117952902","0.526028375956498","0.0539185911946343","0.0259474996781754","0.0180271151816831","0.444036377467596","0.552619723349437","0.0517525790924804","0.047082971447249","0.765629239123606","0.43778184036895","0.0115175555931711","0.0363126381601299","0.736837042487066","0.0794736256974423","0.0677592498258086","0.389835058221035","0.91632821519647","0.0278807996348381","0.0713150543888397","0.385282150936585","0.0597229338718799","0.0964128595406976","0.0750870379514507","0.0914230236110204","0.0391386715370938","Cancer"
"TCGA-2F-A9KQ-01","0.526817694726949","0.157901604628395","0.0653181163557254","0.898393376969932","0.0216574023245914","0.924862122832577","0.0476592489221943","0.0267157287335431","0.898943767777912","0.0377630977559702","0.0447323857111561","0.0661579050282562","0.866681182854894","0.0806280346953352","0.0995632627190561","0.24446247298393","0.0541905850268656","0.821499525567209","0.0600540140085809","0.781368316113885","0.0900133173621085","0.0226535750581745","0.0180950458413938","0.547707897929887","0.501945524517972","0.0432006447759277","0.052604747603942","0.853882822442233","0.357846788363617","0.0151687068443415","0.0291747312914686","0.531834892753288","0.0766936926285038","0.060993180374529","0.283874982885097","0.848599690372153","0.0286836987330858","0.0370850113916502","0.848351626237785","0.0770799560085556","0.067909742117607","0.061723817140134","0.0659870423372486","0.0420507846212698","Cancer"
"TCGA-2F-A9KR-01","0.459509023218573","0.223570434321065","0.0693992163084342","0.840698602676725","0.0223008470953609","0.950245588869579","0.0553281340396348","0.0305344519807419","0.760865685564199","0.0338459084327968","0.0350891316959898","0.0524750700693694","0.864498519891418","0.0209596194830417","0.0707604666592436","0.382462468729041","0.039896712948876","0.908062214644725","0.0411203176800663","0.87233628546148","0.0771282455786912","0.0244834077946603","0.0154736024628157","0.567252686131842","0.0469228448976926","0.0533809408318519","0.135038716510832","0.794775677010107","0.282793666695906","0.0122403182427771","0.0333106481705682","0.341023037754474","0.0654601982385434","0.0467050524231398","0.967664659836644","0.893611694639652","0.0315821362156625","0.138708731042261","0.72417583662416","0.0763215905142009","0.0754652083075009","0.0831811538364002","0.0624417934823069","0.0417219142639442","Cancer"
"TCGA-2F-A9KT-01","0.50556053131751","0.42505629991122","0.0625473835506803","0.579477383975444","0.0270609925318986","0.945092642068372","0.0493382188729082","0.0324725631968441","0.917890091612903","0.0336870890667048","0.0606784659845393","0.0643121971441746","0.879264516742401","0.0329676378637067","0.0644958494296812","0.556994686007067","0.241813362696139","0.930910770328982","0.0339911861339565","0.588192653518343","0.0418619491761003","0.0228371293171732","0.0205933450583148","0.421605835046939","0.0356688279158983","0.056601898358381","0.048207777270862","0.595328915173864","0.571684304718276","0.0149271345788967","0.0293020158581355","0.73610681876244","0.0833905991378788","0.0613316267596554","0.916880745301601","0.927802460705521","0.0288480311603025","0.138661333117333","0.420414884563073","0.0412867464775402","0.0802016129511048","0.0815762202208053","0.0859792683969064","0.0403860002719827","Cancer"
"TCGA-2F-A9KW-01","0.672201953697912","0.365596922650899","0.0685907679537512","0.781815715681166","0.0241349475606023","0.882269134790406","0.0404073239907347","0.0250404607612804","0.847363339842321","0.0348331815747149","0.0330421815553853","0.0584037301883259","0.825669449039406","0.034431167609688","0.10914772591476","0.369519436833312","0.15129853753788","0.924367709101426","0.0324398281636019","0.374213310493458","0.0417212181725814","0.028982148162483","0.0158394388697471","0.69799478290771","0.574497612682835","0.0472163970059277","0.602091019576545","0.589441022388207","0.612547562643079","0.0156703340215886","0.0261130145866749","0.623604646477459","0.0658518483069956","0.140962815361005","0.941840195127805","0.913257402681133","0.0352482588249109","0.156438260299419","0.38630999988053","0.0618073166675584","0.0812019173171962","0.0593462391852771","0.083436041472771","0.0406235239874229","Cancer"
"TCGA-4Z-AA7M-01","0.285714791562785","0.298631527114638","0.0574594467851017","0.874870844895662","0.0190471367437496","0.936692881159537","0.0553881941902983","0.0270846845905953","0.892816292893425","0.0345123913990105","0.0365256718758029","0.0677581180306705","0.859481807981732","0.0325139864329293","0.0843366996260885","0.392928048062813","0.110707180520272","0.870025526454077","0.02540929242104","0.351527675943711","0.0357814770255364","0.0256284547108608","0.019272872003898","0.295467764729121","0.0046392791991115","0.0702784287011882","0.0457138053127109","0.7221178582945","0.465882044970412","0.0141530585214352","0.0368253474573363","0.777310813590106","0.0913271291999467","0.107810265473535","0.432979606425872","0.938899177711719","0.0259187646923754","0.0881744969366397","0.409413210427367","0.0577916103557386","0.077587814889896","0.090144637728832","0.0748975077169138","0.0339075839414606","Cancer"
"TCGA-4Z-AA7N-01","0.691988939968054","0.698111884446655","0.0742594976423152","0.360979812807614","0.0220987022898219","0.936126516591956","0.0619392310010791","0.0342341010084691","0.939107577460948","0.0334553947367801","0.0444519865290593","0.0599938229350086","0.734531627015934","0.0329160596949998","0.264337292891858","0.647059717547343","0.225224575849708","0.833192750389013","0.0335775108631833","0.469083676608741","0.170069383531017","0.0222207910085975","0.017893039143461","0.505233126171208","0.314814550550879","0.0642564073701971","0.0445298325469568","0.441507503077529","0.428579565838433","0.0120813530766619","0.102288008306468","0.781125873955283","0.078159571306776","0.0549466561245241","0.851331746139612","0.925148644804205","0.0228321428809074","0.115971825152088","0.327403363423338","0.0791863494348664","0.107971180030867","0.0637011164066138","0.0897375930485058","0.0330482582999549","Cancer"
"TCGA-4Z-AA7O-01","0.655825124923471","0.202884212234519","0.0561023804530974","0.856659213672063","0.0219425458063721","0.89811248735767","0.0479406014948954","0.0234798671450197","0.872866794548801","0.0396515858213628","0.0354194295856241","0.0568477360306703","0.462943915970464","0.0246836987135641","0.117558733000574","0.319789597930101","0.0606662101576527","0.835331179505411","0.0380840558063923","0.773073810781239","0.0309303271141407","0.0210886532815903","0.0168537687683028","0.646184972511054","0.6654917164716","0.0490393869097759","0.0474792342483331","0.432819884336608","0.222210187721663","0.0132963076642997","0.0416370798367316","0.454076370933235","0.0636248936826772","0.290190593772143","0.272090697356944","0.921089813277453","0.0357257706323469","0.0682075389281641","0.203821211930634","0.341389210141525","0.0700021319432213","0.067309709887441","0.0653166139110054","0.0361688068437531","Cancer"
"TCGA-4Z-AA7Q-01","0.536078222313565","0.541085921752985","0.109342750271821","0.570730637275942","0.021078240189689","0.932982661426731","0.0589061587109313","0.0258687327776438","0.924482352739448","0.0373233770503258","0.0341244693325402","0.0628605630999271","0.828832027817232","0.0343798475057698","0.200265315246005","0.634006970592554","0.125015767154677","0.91270782963766","0.0183903121342722","0.619061372810813","0.0563886201121072","0.0235590805456248","0.0207487708681643","0.479202637391389","0.384327751219713","0.0555928788054204","0.0441404399989987","0.605845195764876","0.659492207167732","0.0119670217895065","0.0908941275720041","0.720860052866782","0.0663307793353015","0.0476348090326728","0.641519856608053","0.901367106500067","0.0344370901368961","0.0771547256591392","0.211152875251889","0.101707376787507","0.189325117735228","0.0755068437386156","0.12357395196686","0.0430733584009395","Cancer"
